"rank","name","nationality","goals"
"1","Alan Shearer","England","260"
"2","Wayne Rooney","England","208"
"3","Andrew Cole","England","187"
"4","Sergio Agüero","Argentina","180"
"5","Frank Lampard","England","177"
"6","Thierry Henry","France","175"
"7","Robbie Fowler","England","163"
"8","Jermain Defoe","England","162"
"9","Michael Owen","England","150"
"10","Les Ferdinand","England","149"
"11","Teddy Sheringham","England","146"
"12","Robin van Persie","Netherlands","144"
"13","Harry Kane","England","136"
"14","Jimmy Floyd Hasselbaink","Netherlands","127"
"15","Robbie Keane","Ireland","126"
"16","Nicolas Anelka","France","125"
"17","Dwight Yorke","Trinidad And Tobago","123"
"18","Steven Gerrard","England","120"
"19","Romelu Lukaku","Belgium","113"
"19","Ian Wright","England","113"
